MESSOREGIAO,CLASSE,TD_ADM,ALUNOS,DESEMPENHO
Lower Amazon,1,Private,13,"4,96"
Lower Amazon,1,Public,596,"27,41"
Lower Amazon,2,Private,15,"6,02"
Lower Amazon,2,Public,494,"22,72"
Lower Amazon,3,Private,89,"37,71"
Lower Amazon,3,Public,853,"39,24"
Lower Amazon,4,Private,145,"98,64"
Lower Amazon,4,Public,231,"10,63"
Marajó,1,Private,0,"0,00"
Marajó,1,Public,337,"26,92"
Marajó,2,Private,2,"0,72"
Marajó,2,Public,340,"27,16"
Marajó,3,Private,0,"0,00"
Marajó,3,Public,500,"39,94"
Marajó,4,Private,0,"0,00"
Marajó,4,Public,75,"5,99"
Metripolitan Area,1,Private,276,"5,84"
Metripolitan Area,1,Public,1741,"24,79"
Metripolitan Area,2,Private,261,"5,84"
Metripolitan Area,2,Public,1586,"22,58"
Metripolitan Area,3,Private,1718,"40,52"
Metripolitan Area,3,Public,2964,"42,20"
Metripolitan Area,4,Private,2471,"90,05"
Metripolitan Area,4,Public,732,"10,42"
Notheastern,1,Private,18,"3,50"
Notheastern,1,Public,1129,"25,74"
Notheastern,2,Private,33,"6,36"
Notheastern,2,Public,1299,"29,61"
Notheastern,3,Private,222,"44,67"
Notheastern,3,Public,1653,"37,68"
Notheastern,4,Private,241,"64,10"
Notheastern,4,Public,306,"6,98"
Southwest,1,Private,23,"9,43"
Southwest,1,Public,356,"31,04"
Southwest,2,Private,11,"3,94"
Southwest,2,Public,253,"22,06"
Southwest,3,Private,101,"30,24"
Southwest,3,Public,433,"37,75"
Southwest,4,Private,109,"19,06"
Southwest,4,Public,105,"9,15"
Sultheast,1,Private,58,"6,55"
Sultheast,1,Public,1277,"29,62"
Sultheast,2,Private,66,"7,97"
Sultheast,2,Public,895,"20,76"
Sultheast,3,Private,339,"44,49"
Sultheast,3,Public,1695,"39,31"
Sultheast,4,Private,423,"100,00"
Sultheast,4,Public,445,"10,32"
