Dependência ADM,Renda Familiar,Desempenho,Total,Percentual
Privada,0 à 1 salário,0 - 25,127,"0,16"
Privada,0 à 1 salário,26 - 74,417,"0,52"
Privada,0 à 1 salário,75 - 100,153,"0,19"
Privada,0 à 1 salário,Desistente,99,"0,12"
Privada,"1,5 salário",0 - 25,86,"0,11"
Privada,"1,5 salário",26 - 74,402,"0,52"
Privada,"1,5 salário",75 - 100,234,"0,30"
Privada,"1,5 salário",Desistente,52,"0,07"
Privada,2 salários,0 - 25,101,"0,13"
Privada,2 salários,26 - 74,357,"0,45"
Privada,2 salários,75 - 100,271,"0,34"
Privada,2 salários,Desistente,63,"0,08"
Privada,"2,5 salários",0 - 25,67,"0,09"
Privada,"2,5 salários",26 - 74,352,"0,47"
Privada,"2,5 salários",75 - 100,284,"0,38"
Privada,"2,5 salários",Desistente,39,"0,05"
Privada,3 salários,0 - 25,45,"0,09"
Privada,3 salários,26 - 74,220,"0,42"
Privada,3 salários,75 - 100,222,"0,43"
Privada,3 salários,Desistente,32,"0,06"
Privada,3+ salários,0 - 25,202,"0,06"
Privada,3+ salários,26 - 74,1245,"0,34"
Privada,3+ salários,75 - 100,1955,"0,54"
Privada,3+ salários,Desistente,219,"0,06"
Publica,0 à 1 salário,0 - 25,5683,"0,34"
Publica,0 à 1 salário,26 - 74,4847,"0,29"
Publica,0 à 1 salário,75 - 100,503,"0,03"
Publica,0 à 1 salário,Desistente,5527,"0,33"
Publica,"1,5 salário",0 - 25,1329,"0,28"
Publica,"1,5 salário",26 - 74,1791,"0,38"
Publica,"1,5 salário",75 - 100,339,"0,07"
Publica,"1,5 salário",Desistente,1315,"0,28"
Publica,2 salários,0 - 25,577,"0,24"
Publica,2 salários,26 - 74,956,"0,40"
Publica,2 salários,75 - 100,241,"0,10"
Publica,2 salários,Desistente,599,"0,25"
Publica,"2,5 salários",0 - 25,302,"0,23"
Publica,"2,5 salários",26 - 74,577,"0,44"
Publica,"2,5 salários",75 - 100,141,"0,11"
Publica,"2,5 salários",Desistente,295,"0,22"
Publica,3 salários,0 - 25,139,"0,21"
Publica,3 salários,26 - 74,295,"0,44"
Publica,3 salários,75 - 100,101,"0,15"
Publica,3 salários,Desistente,137,"0,20"
Publica,3+ salários,0 - 25,345,"0,18"
Publica,3+ salários,26 - 74,806,"0,41"
Publica,3+ salários,75 - 100,476,"0,24"
Publica,3+ salários,Desistente,332,"0,17"
