Dependência ADM,Renda Familiar,Desempenho,Total,Percentual
Privada,0 à 1 salário,0 - 25,76,"0,08"
Privada,0 à 1 salário,26 - 74,363,"0,39"
Privada,0 à 1 salário,75 - 100,287,"0,31"
Privada,0 à 1 salário,Desistente,201,"0,22"
Privada,"1,5 salário",0 - 25,70,"0,09"
Privada,"1,5 salário",26 - 74,307,"0,38"
Privada,"1,5 salário",75 - 100,314,"0,39"
Privada,"1,5 salário",Desistente,108,"0,14"
Privada,2 salários,0 - 25,51,"0,07"
Privada,2 salários,26 - 74,311,"0,40"
Privada,2 salários,75 - 100,320,"0,41"
Privada,2 salários,Desistente,102,"0,13"
Privada,"2,5 salários",0 - 25,28,"0,05"
Privada,"2,5 salários",26 - 74,178,"0,35"
Privada,"2,5 salários",75 - 100,241,"0,47"
Privada,"2,5 salários",Desistente,65,"0,13"
Privada,3 salários,0 - 25,30,"0,04"
Privada,3 salários,26 - 74,261,"0,37"
Privada,3 salários,75 - 100,344,"0,49"
Privada,3 salários,Desistente,67,"0,10"
Privada,3+ salários,0 - 25,86,"0,03"
Privada,3+ salários,26 - 74,732,"0,24"
Privada,3+ salários,75 - 100,1828,"0,59"
Privada,3+ salários,Desistente,452,"0,15"
Publica,0 à 1 salário,0 - 25,3514,"0,21"
Publica,0 à 1 salário,26 - 74,4911,"0,29"
Publica,0 à 1 salário,75 - 100,729,"0,04"
Publica,0 à 1 salário,Desistente,7611,"0,45"
Publica,"1,5 salário",0 - 25,735,"0,17"
Publica,"1,5 salário",26 - 74,1523,"0,35"
Publica,"1,5 salário",75 - 100,361,"0,08"
Publica,"1,5 salário",Desistente,1697,"0,39"
Publica,2 salários,0 - 25,326,"0,15"
Publica,2 salários,26 - 74,911,"0,41"
Publica,2 salários,75 - 100,241,"0,11"
Publica,2 salários,Desistente,746,"0,34"
Publica,"2,5 salários",0 - 25,114,"0,13"
Publica,"2,5 salários",26 - 74,332,"0,39"
Publica,"2,5 salários",75 - 100,148,"0,17"
Publica,"2,5 salários",Desistente,264,"0,31"
Publica,3 salários,0 - 25,88,"0,12"
Publica,3 salários,26 - 74,299,"0,39"
Publica,3 salários,75 - 100,154,"0,20"
Publica,3 salários,Desistente,220,"0,29"
Publica,3+ salários,0 - 25,137,"0,10"
Publica,3+ salários,26 - 74,479,"0,37"
Publica,3+ salários,75 - 100,356,"0,27"
Publica,3+ salários,Desistente,335,"0,26"
