Dependência ADM,Renda Familiar,Desempenho,Total,Percentual
Privada,0 à 1 salário,0 - 25,112,"0,13"
Privada,0 à 1 salário,26 - 74,312,"0,35"
Privada,0 à 1 salário,75 - 100,385,"0,43"
Privada,0 à 1 salário,Desistente,78,"0,09"
Privada,"1,5 salário",0 - 25,96,"0,09"
Privada,"1,5 salário",26 - 74,348,"0,33"
Privada,"1,5 salário",75 - 100,576,"0,54"
Privada,"1,5 salário",Desistente,47,"0,04"
Privada,2 salários,0 - 25,26,"0,04"
Privada,2 salários,26 - 74,188,"0,29"
Privada,2 salários,75 - 100,405,"0,63"
Privada,2 salários,Desistente,23,"0,04"
Privada,"2,5 salários",0 - 25,23,"0,04"
Privada,"2,5 salários",26 - 74,140,"0,25"
Privada,"2,5 salários",75 - 100,382,"0,68"
Privada,"2,5 salários",Desistente,16,"0,03"
Privada,3 salários,0 - 25,15,"0,04"
Privada,3 salários,26 - 74,86,"0,24"
Privada,3 salários,75 - 100,249,"0,68"
Privada,3 salários,Desistente,14,"0,04"
Privada,3+ salários,0 - 25,49,"0,02"
Privada,3+ salários,26 - 74,464,"0,16"
Privada,3+ salários,75 - 100,2273,"0,80"
Privada,3+ salários,Desistente,64,"0,02"
Publica,0 à 1 salário,0 - 25,6285,"0,28"
Publica,0 à 1 salário,26 - 74,10337,"0,45"
Publica,0 à 1 salário,75 - 100,2160,"0,09"
Publica,0 à 1 salário,Desistente,3977,"0,17"
Publica,"1,5 salário",0 - 25,2403,"0,22"
Publica,"1,5 salário",26 - 74,5217,"0,47"
Publica,"1,5 salário",75 - 100,1737,"0,16"
Publica,"1,5 salário",Desistente,1659,"0,15"
Publica,2 salários,0 - 25,356,"0,17"
Publica,2 salários,26 - 74,981,"0,47"
Publica,2 salários,75 - 100,495,"0,24"
Publica,2 salários,Desistente,241,"0,12"
Publica,"2,5 salários",0 - 25,319,"0,16"
Publica,"2,5 salários",26 - 74,959,"0,49"
Publica,"2,5 salários",75 - 100,503,"0,25"
Publica,"2,5 salários",Desistente,192,"0,10"
Publica,3 salários,0 - 25,97,"0,16"
Publica,3 salários,26 - 74,278,"0,45"
Publica,3 salários,75 - 100,196,"0,32"
Publica,3 salários,Desistente,49,"0,08"
Publica,3+ salários,0 - 25,218,"0,11"
Publica,3+ salários,26 - 74,819,"0,42"
Publica,3+ salários,75 - 100,769,"0,40"
Publica,3+ salários,Desistente,122,"0,06"
